The number of 4-dimensional subspaces of the vector (Z_2)^6 is: 651
((0, 0, 1, 0, 0, 0), (0, 0, 1, 1, 0, 0), (0, 0, 1, 1, 1, 0), (0, 0, 1, 1, 1, 1))
((0, 1, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0), (0, 1, 0, 1, 1, 0), (0, 1, 0, 1, 1, 1))
((0, 1, 0, 0, 0, 0), (0, 1, 1, 0, 0, 0), (0, 1, 1, 0, 1, 0), (0, 1, 1, 0, 1, 1))
((0, 1, 0, 0, 0, 0), (0, 1, 1, 0, 0, 0), (0, 1, 1, 1, 0, 0), (0, 1, 1, 1, 0, 1))
((0, 1, 0, 0, 0, 0), (0, 1, 1, 0, 0, 0), (0, 1, 1, 1, 0, 0), (0, 1, 1, 1, 1, 0))
((0, 1, 0, 0, 0, 0), (0, 1, 1, 0, 0, 0), (0, 1, 1, 1, 0, 0), (0, 1, 1, 1, 1, 1))
((0, 1, 0, 0, 0, 0), (0, 1, 1, 0, 0, 0), (0, 1, 1, 1, 0, 1), (0, 1, 1, 1, 1, 0))
((0, 1, 0, 0, 0, 0), (0, 1, 1, 0, 0, 0), (0, 1, 1, 1, 0, 1), (0, 1, 1, 1, 1, 1))
((0, 1, 0, 0, 0, 0), (0, 1, 1, 0, 0, 0), (0, 1, 1, 1, 1, 0), (0, 1, 1, 1, 1, 1))
((0, 1, 0, 0, 0, 0), (0, 1, 1, 0, 0, 1), (0, 1, 1, 1, 0, 0), (0, 1, 1, 1, 1, 0))
((0, 1, 0, 0, 0, 0), (0, 1, 1, 0, 0, 1), (0, 1, 1, 1, 0, 0), (0, 1, 1, 1, 1, 1))
((0, 1, 0, 0, 0, 0), (0, 1, 1, 0, 0, 1), (0, 1, 1, 1, 0, 1), (0, 1, 1, 1, 1, 0))
((0, 1, 0, 0, 0, 0), (0, 1, 1, 0, 0, 1), (0, 1, 1, 1, 0, 1), (0, 1, 1, 1, 1, 1))
((0, 1, 0, 0, 0, 0), (0, 1, 1, 0, 1, 0), (0, 1, 1, 1, 0, 0), (0, 1, 1, 1, 0, 1))
((0, 1, 0, 0, 0, 0), (0, 1, 1, 0, 1, 0), (0, 1, 1, 1, 1, 0), (0, 1, 1, 1, 1, 1))
((0, 1, 0, 0, 0, 0), (0, 1, 1, 1, 0, 0), (0, 1, 1, 1, 1, 0), (0, 1, 1, 1, 1, 1))
((0, 1, 0, 0, 0, 1), (0, 1, 1, 0, 0, 0), (0, 1, 1, 1, 0, 0), (0, 1, 1, 1, 1, 0))
((0, 1, 0, 0, 0, 1), (0, 1, 1, 0, 0, 0), (0, 1, 1, 1, 0, 0), (0, 1, 1, 1, 1, 1))
((0, 1, 0, 0, 0, 1), (0, 1, 1, 0, 0, 0), (0, 1, 1, 1, 0, 1), (0, 1, 1, 1, 1, 0))
((0, 1, 0, 0, 0, 1), (0, 1, 1, 0, 0, 0), (0, 1, 1, 1, 0, 1), (0, 1, 1, 1, 1, 1))
((0, 1, 0, 0, 0, 1), (0, 1, 1, 0, 0, 1), (0, 1, 1, 1, 0, 0), (0, 1, 1, 1, 1, 0))
((0, 1, 0, 0, 0, 1), (0, 1, 1, 0, 0, 1), (0, 1, 1, 1, 0, 0), (0, 1, 1, 1, 1, 1))
((0, 1, 0, 0, 0, 1), (0, 1, 1, 0, 0, 1), (0, 1, 1, 1, 0, 1), (0, 1, 1, 1, 1, 0))
